player_name,nfl_team,position,games_played_2025,solo_tackles_2025,ast_tackles_2025,tfl_2025,sacks_2025,ff_2025,fr_2025,pd_2025,snap_pct_2025,role_2026,depth_chart_note,risk_tier,source_note
Chris Jones,KC,DT,17.0,15.0,14.0,,7.0,0.0,,2.0,85%,"Full-time 3-tech/interior pass rusher, every-down starter",No team change; led interior DL in pressures (45) and pass-rush win rate (18.9%) despite lower tackle total; 7th straight Pro Bowl,medium,Sidelined by a groin injury at camp with no clear return timeline given by HC Andy Reid; asked to sit out the preseason opener vs. the Rams. Also missed time with a calf issue in the 2025 playoffs.
Jalen Carter,PHI,DT,12.0,21.0,12.0,4.0,3.0,,,7.0,"84% (reg season), 88% (playoffs)","Full-time interior starter under Vic Fangio, 3-tech pass-rush emphasis","Missed Week 1 (ejection), heel injury, and final games after double shoulder surgery Dec 2025; strong pass-rush grade (78.7 PFF) but weak run-defense grade (41.2)",medium,"ESPN, PFF, RotoWire, Philadelphia Eagles site, NBC Sports Philadelphia"
Quinnen Williams,DAL,DT,15.0,26.0,27.0,3.0,2.5,3.0,,,,"Full-time starter, anchors Cowboys DL alongside Kenny Clark","Traded from NY Jets to Dallas Nov 4 2025 (for 2027 1st, 2026 2nd, Mazi Smith); first full season in Dallas in 2026; 91.7 PFF run-defense grade ranked 1st among IDL",low,"ESPN, PFF, RotoWire, CBS News, SI Cowboys"
Dexter Lawrence,CIN,NT,17.0,14.0,17.0,4.0,0.5,,,4.0,,"Starting nose tackle, Bengals depth chart",Traded from NY Giants to Cincinnati April 2026 (Bengals gave up 2026 No. 10 pick) plus 1-yr/$28M extension through 2028; requested trade from Giants; sharp sack decline from 9.0 (2024) to 0.5 (2025); reportedly terrorizing 2026 camp,medium,"Giants.com, Bengals.com, NFL.com, ESPN, CBS Sports, heavy.com"
Christian Wilkins,Free agent (unsigned),DT,0.0,,,,,,,,,Unsigned; intends to play 2026 season pending health clearance,Released by Raiders July 2025 (voided remaining $35.2M guaranteed) amid dispute over rehab effort from 2024 Jones fracture in foot; missed all of 2025; ~26 teams reportedly monitoring him; filed NFLPA grievance vs Raiders,high,"ESPN, Bleacher Report, NBC Sports, CBS Sports, Silver and Black Pride"
Vita Vea,TB,DT,17.0,16.0,18.0,3.0,4.5,,1.0,2.0,,Full-time nose/interior run-stuffer if he stays; trade destination unresolved as of Aug 2026,"Contract dispute resolved: agreed to a 1yr/$30M extension (~$46M guaranteed) around Aug 19-22, 2026, ending his hold-in. Back at practice, staying in Tampa Bay -- ""trade destination unresolved"" was stale.",low,"ESPN, PFF, RotoWire, Yardbarker, Bleacher Report, CBS Sports, NFL.com"
DeForest Buckner,IND,DT,10.0,30.0,17.0,,4.0,,,,,"Starting interior DL, 3-tech/base run-and-pass rush role when healthy","Herniated disc/neck injury, missed 7 of final 8 games, had neck surgery; cleared for 2026 training camp, ramping up slowly toward season opener",high,"RotoWire, CBS Sports, Colts.com, PFF"
Jeffery Simmons,TEN,DT,15.0,39.0,28.0,17.0,11.0,3.0,,3.0,,"Full-time starting 3-tech/interior rusher, paired with John Franklin-Myers in new defensive scheme","Signed 3-yr/$105.8M extension, highest-paid DT in NFL; no major injury issues in 2025; first-team All-Pro; entrenched starter through 2030",low,"CBS Sports, Spotrac, Titans.com, PFF"
Dre'Mont Jones,NE,DE,18.0,19.0,24.0,,7.0,,2.0,1.0,,Signed 3-yr/$39M FA deal with Patriots for 2026; expected interior/edge rotational-to-starting pass rusher,"Traded mid-season Titans to Ravens (Nov 2025) for a 2026 5th, then left in FA for New England; new scheme/team fit unproven",medium,"Baltimore Ravens site, CBS Sports, NFL.com, Patriots.com"
Kris Jenkins,CIN,DT,14.0,18.0,18.0,5.0,1.5,,,1.0,,"Third-year DT expected to take a leap, full participant in same scheme for first time; part of DL rotation with Shemar Stewart, Myles Murphy, B.J. Hill","Placed on IR Dec 19 2025 with ankle injury (Wk15 vs Ravens), missed final 3 games; healthy entering 2026 camp",medium,"RotoWire, Sportskeeda, Bengals.com, PFF"
