player_name,position,market_overall_pick,source_note
Jahmyr Gibbs,RB,1.0,"Field Yates/consensus ADP"
Bijan Robinson,RB,2.0,"Field Yates/consensus ADP"
Ja'Marr Chase,WR,4.0,"Field Yates top-20"
Puka Nacua,WR,5.0,"Field Yates top-20"
Christian McCaffrey,RB,5.8,"consensus ADP"
Jaxon Smith-Njigba,WR,6.0,"Field Yates top-20"
Jonathan Taylor,RB,7.5,"consensus ADP"
Amon-Ra St. Brown,WR,9.0,"Field Yates top-20"
James Cook III,RB,11.0,"consensus ADP (10.8-11.9 range across sources)"
De'Von Achane,RB,11.4,"consensus ADP"
Ashton Jeanty,RB,12.7,"consensus ADP"
Justin Jefferson,WR,12.5,"Field Yates 12 / other sources ~13"
CeeDee Lamb,WR,13.5,"Field Yates 13 / other sources ~14"
Saquon Barkley,RB,14.3,"consensus ADP"
Chase Brown,RB,14.5,"Field Yates RB8 pick15 / consensus 14.3"
Derrick Henry,RB,16.0,"consensus ADP (2.05 format = pick 16)"
Drake London,WR,17.0,"Field Yates top-20"
Omarion Hampton,RB,17.6,"consensus ADP"
Rashee Rice,WR,19.0,"Field Yates top-20"
Josh Allen,QB,19.0,"consensus ADP"
Kenneth Walker III,RB,19.5,"Field Yates RB9 pick16 / consensus 22.9 -- averaged"
David Montgomery,RB,25.0,"Mike Clay overall rank"
Breece Hall,RB,29.0,"consensus ADP (3.06 format = pick 29)"
Trey McBride,TE,27.2,"consensus ADP"
Brock Bowers,TE,27.6,"consensus ADP"
Javonte Williams,RB,34.9,"consensus ADP"
Kyren Williams,RB,36.0,"consensus ADP"
Bucky Irving,RB,36.0,"consensus ADP (same-source tie w/ Kyren, lower confidence)"
Josh Jacobs,RB,35.9,"consensus ADP"
Lamar Jackson,QB,39.0,"consensus ADP"
Travis Etienne Jr.,RB,41.9,"consensus ADP"
Drake Maye,QB,48.0,"consensus ADP"
Joe Burrow,QB,51.0,"consensus ADP"
Tyler Warren,TE,55.9,"consensus ADP"
Jayden Daniels,QB,59.0,"consensus ADP"
Jalen Hurts,QB,67.0,"consensus ADP"
D'Andre Swift,RB,49.5,"consensus ADP, round-4 boundary"
Cam Skattebo,RB,41.4,"consensus ADP"
