week,team,optimal_lineup_points,note
1,Spokane Jackalopes,184.86,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,A.I see what you done there?,169.81,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Steely,164.7,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,SD Boyz,164.22,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,The Jaxsen Tyus's,162.75,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Welcome To The Big Show,158.31,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Favre Dolar Footlong,154.05,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,MMFFL,151.19,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,GeetheWhiz,149.35,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Calculated chaos,149.06,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,RigoRigo,141.15,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Church of Gronk,132.84,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,The Leviathan,129.81,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Southeastern FL,117.72,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,WashMo,114.35,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
1,Legion of worst,113.13,Week 1 -- does NOT count toward Rivals FCL standings (scoring starts Week 4); logged as real early-season signal for waiver/lineup decisions.
