player_name,position,nfl_team_2026,team_changed,offseason_move,injury_status,suspension_note,depth_chart_note,vacated_opportunity_note,notes
Josh Allen,QB,BUF,No,,,,,,No material change.
Lamar Jackson,QB,BAL,No,,,,,,No material change; remains Ravens starter.
Drake Maye,QB,NE,No,,,,,,No material change. Patriots traded for A.J. Brown to bolster his weapons.
Jayden Daniels,QB,WAS,No,,,,,,"No material change; Commanders signed RB Rachaad White, a former Arizona State teammate."
Patrick Mahomes,QB,KC,No,,,,,,No material change. Chiefs traded for backup QB Justin Fields this offseason.
Joe Burrow,QB,CIN,No,,,,,,No material change; no reported injury concerns entering 2026.
Jalen Hurts,QB,PHI,No,,,,,,"No material change to his own situation, though top weapon A.J. Brown was traded to New England."
Bo Nix,QB,DEN,No,,,,,,"No material change; Broncos went all-in, trading for WR Jaylen Waddle."
Jared Goff,QB,DET,No,,,,,,No material change.
Justin Herbert,QB,LAC,No,,,,,,No material change; confirmed starter.
C.J. Stroud,QB,HOU,No,,,,,,No material change.
Kyler Murray,QB,MIN,Yes,"Released by Cardinals in March 2026 (Arizona still owes him ~$36.8M); signed a one-year, minimum-salary deal with the Vikings.",,,"Named atop Vikings' QB depth chart over J.J. McCarthy, though the job was framed as an open competition entering camp.",,"Major team change: released by ARI, signed with MIN to compete with/start over McCarthy."
Brock Purdy,QB,SF,No,,,,,,No material change.
Baker Mayfield,QB,TB,No,,,,,,No material change; entering 4th straight season as Bucs QB1.
Trevor Lawrence,QB,JAX,No,,,,,,No material change identified.
Caleb Williams,QB,CHI,No,,,,,,No material change.
Justin Fields,QB,KC,Yes,"Traded from Jets to Chiefs for a 2027 6th-round pick, after the Jets acquired Geno Smith to be their bridge starter.",,,"Backup to Patrick Mahomes in Kansas City, not a starting role.",,Team change NYJ->KC; expect minimal fantasy value as a backup unless Mahomes is hurt.
Matthew Stafford,QB,LAR,No,,,,,,No material change.
Dak Prescott,QB,DAL,No,,,,,,No material change.
Jordan Love,QB,GB,No,,,,,,No material change.
Tua Tagovailoa,QB,ATL,Yes,"Released by Dolphins (post-June-1 designation, ~$99M in dead cap); signed a one-year, veteran-minimum deal with the Falcons.",,,Expected to be Week 1 starter over an injured Michael Penix Jr.,,Major team change MIA->ATL. Falcons hired HC Kevin Stefanski and released Kirk Cousins to open the job for Tua.
Geno Smith,QB,NYJ,Yes,Traded from Raiders to Jets for a swap of late-round picks; Raiders absorbed much of his remaining contract.,,,"Bridge starter for the Jets in 2026, returning to the team that originally drafted him.",,"Team change LV->NYJ. His lone season with Las Vegas was poor (17 INT, worst record in NFL)."
Daniel Jones,QB,IND,No,Re-signed with the Colts on a new $88M contract to remain the starter.,,,Confirmed Colts QB1 over Anthony Richardson and Riley Leonard.,,No team change (already Colts starter since 2025); new extension signed this offseason.
