award,player_name,odds
MVP,Josh Allen,+550
MVP,Lamar Jackson,+850
MVP,Matthew Stafford,+900
MVP,Joe Burrow,+900
MVP,Justin Herbert,+1000
MVP,Drake Maye,+1000
MVP,Patrick Mahomes,+1300
MVP,Dak Prescott,+1400
MVP,Caleb Williams,+1500
MVP,Trevor Lawrence,+2000
MVP,Brock Purdy,+2000
MVP,Jordan Love,+2200
MVP,Ja'Marr Chase,+10000
OPOY,Jahmyr Gibbs,+750
OPOY,Bijan Robinson,+900
OPOY,Ja'Marr Chase,+1000
OPOY,Puka Nacua,+1100
OPOY,Christian McCaffrey,+1200
OPOY,Jaxon Smith-Njigba,+1500
OPOY,Saquon Barkley,+1500
OPOY,Justin Jefferson,+1500
OPOY,CeeDee Lamb,+1800
OROY,Jeremiyah Love,+250
OROY,Fernando Mendoza,+350
OROY,Carnell Tate,+500
OROY,Jordyn Tyson,+600
OROY,Jadarian Price,+750
OROY,Makai Lemon,+950
CPOY,Patrick Mahomes,+185
CPOY,Jayden Daniels,+450
CPOY,Kyler Murray,+550
CPOY,Micah Parsons,+1000
CPOY,Malik Nabers,+1600
CPOY,George Kittle,+2000
CPOY,Daniel Jones,+2000
CPOY,Travis Hunter,+2500
CPOY,Nick Bosa,+2500
CPOY,Fred Warner,+2500
