date,team,move_type,player_added,player_dropped,faab_spent,note
Sept 2026,Calvin and Hobbes / Bye Week,TRADE,,,,Calvin and Hobbes (justin s) sent TreVeyon Henderson to Bye Week (CMK21) for Jayden Daniels. Calvin and Hobbes trades RB-5 depth for a QB2/streaming piece behind Stroud; Bye Week adds a fifth real RB to an already RB/WR-heavy roster. (Two-team trade; see draft_results_2026.csv for which team originally drafted each player.)
Sept 2026,Bye Week,ADD,Ravens D/ST,,1,"Picked up the Ravens D off waivers -- fills the DEF hole flagged after the draft (was one of two rosters with zero defense). No drop is named in the source text; faab_spent of $1 is inferred from the $1 price shown for this player in the roster table, not stated explicitly as a bid amount."
Sept 2026,Tee Time,ADD/DROP,Kaleb Johnson,Kenyon Sadiq,1,"Dropped Kenyon Sadiq for Kaleb Johnson. Real context: Johnson was just traded from Pittsburgh to Green Bay (Aug 30) and lands in a Packers backfield with Josh Jacobs now on the Commissioner Exempt List -- a real, live path to touches, not just a name change. faab_spent of $1 is inferred from the $1 price shown for Kaleb Johnson in the roster table, not stated explicitly as a bid amount."
2026-09-07,Baby Mama,ADD/DROP,K. Black,Aaron Jones Sr.,,
2026-09-09,Waddle World,ADD,Jets DEF,,,
2026-09-15,Maserati Marv,DROP,,Titans DEF,,
2026-09-16,Maserati Marv,ADD/DROP,Caleb Douglas,Oronde Gadsden,6,
2026-09-16,Tee Time,ADD/DROP,Aaron Jones Sr.,Kaleb Johnson,5,
2026-09-16,The Wet Bandits,ADD/DROP,49ers DEF,Bears DEF,4,Calvin and Hobbes (user) bid $1 on this same DEF and lost -- real FAAB floor for a DEF stream in this league is above $1.
2026-09-16,Maserati Marv,ADD/DROP,Buccaneers DEF,Rams DEF,1,
2026-09-16,The Wet Bandits,ADD/DROP,Chiefs DEF,Tre Tucker,,
2026-09-17,Maserati Marv,ADD/DROP,Devaughn Vele,J.K. Dobbins,,
