player_name,nfl_team,games_played_2025,fg_made_2025,fg_att_2025,fg_pct_2025,fg_40_49_made_2025,fg_50plus_made_2025,xp_made_2025,xp_att_2025,long_2025,team_scoring_env_note,role_2026,source_note
Ka'imi Fairbairn,HOU,15,44,48,91.7,16,9,28,28,57,"Texans implied ~23.5 PPG (9.5 win total, average OL); Fairbairn's 44 FGM tied David Akers' NFL single-season record, driven partly by red-zone inefficiency forcing FG tries",locked-in starter,"ESPN player stats page; CBS Sports news confirming record"
Jason Myers,SEA,17,41,48,85.4,13,9,48,48,57,"Seahawks Super Bowl LX champions in 2025, implied ~25.0 PPG (10.5 win total, good OL); Myers led NFL in scoring (171 pts) and set Super Bowl FG record - elite high-volume, high-efficiency offense for a kicker",locked-in starter,"ESPN player stats/splits pages; NFL.com and CBS Sports coverage of Super Bowl record"
Cameron Dicker,LAC,17,38,41,92.7,12,5,34,35,59,"Chargers implied ~23.0 PPG (9.5 win total, average OL); efficient offense, Dicker 4th in NFL in kicker points (148)",locked-in starter,ESPN player stats page
Brandon Aubrey,DAL,17,36,42,85.7,10,11,47,48,64,"Cowboys implied ~24.0 PPG (9.5 win total, good OL); Aubrey elite leg strength, led/tied NFL in 50+ yard makes (11) including 3 of 4 from 60+",locked-in starter,"ESPN player stats page; CBS Sports coverage of 50+ yard record pace"
Harrison Butker,KC,17,33,38,86.8,9,5,31,35,59,"Chiefs implied ~25.5 PPG (10.5 win total, good OL); high-scoring, efficient red-zone offense that can limit FG attempts",locked-in starter,ESPN player stats page
Will Reichard,MIN,17,33,35,94.3,7,11,31,31,62,"Vikings implied ~21.5 PPG (8.5 win total, average OL); Reichard elite accuracy (94.3%) and strong leg (11-for-13 from 50+)",locked-in starter,ESPN player stats page
Chase McLaughlin,TB,17,32,38,84.2,6,11,32,33,65,"Buccaneers implied ~23.0 PPG (8.5 win total, average OL); McLaughlin set franchise record with 9 made 50+ yard FGs and hit a 65-yarder",locked-in starter,ESPN player stats page
Cam Little,JAX,17,30,34,88.2,8,8,50,51,68,"Jaguars implied ~22.0 PPG (8.5 win total, average OL); Little set the NFL record with a 68-yard FG, huge leg upside",locked-in starter,"ESPN player stats page; ESPN news story on 68-yard record kick"
Tyler Loop,BAL,17,30,34,88.2,8,1,44,46,52,"Ravens implied ~27.5 PPG (11.5 win total, good OL) - highest implied scoring in NFL; very high-volume XP/FG offense despite Loop's own long-ball limits (1-for-4 from 50+)",locked-in starter (Ravens noncommittal on adding competition per ESPN),ESPN player stats page; ESPN report on Ravens kicker competition talk
Blake Grupe,IND,16,29,37,78.4,3,7,25,25,60,"Colts implied ~20.5 PPG (7.5 win total, good OL); Grupe went 11/11 FG with Colts down the stretch after being traded from New Orleans",open competition vs Spencer Shrader in training camp (rotating camp reps per SI/Colts.com reporting),"ESPN player stats page (combined NO+IND); SI/Colts.com camp competition coverage"
Nick Folk,NYJ,16,28,29,96.6,7,7,22,22,58,"Played 2025 for Jets, implied ~19.0 PPG (5.5 win total, below-average OL) - low-scoring offense limited volume despite Folk's elite accuracy",signed with Atlanta Falcons for 2026 - locked-in starter there (Falcons implied ~20.0 PPG per team_context data),"ESPN player stats page; SI/AtlantaFalcons.com free agency coverage confirming 2026 destination"
Wil Lutz,DEN,17,28,32,87.5,3,4,39,39,57,"Broncos implied ~23.5 PPG (9.5 win total, elite OL); Lutz signed a 3-year extension, stable high-value role",locked-in starter (signed 3-yr extension through 2028),"ESPN player stats page; ESPN news on Broncos extension"
Joey Slye,TEN,16,28,35,80.0,7,9,26,27,58,"Titans implied ~17.5 PPG (6.5 win total, poor OL) - low-scoring offense but Slye set team record with 9 made 50+ yard FGs, indicating heavy long-attempt usage",re-signed to one-year deal - locked-in starter,"ESPN player stats page; ProFootballRumors/Titans.com re-signing coverage"
Eddy Pineiro,SF,14,28,29,96.6,10,6,34,38,59,"49ers implied ~24.0 PPG (9.5 win total, elite OL); Pineiro posted elite 96.6% FG accuracy on a 4-yr/$17M deal",locked-in starter,"ESPN player stats page; 49ers.com contract coverage"
Chris Boswell,PIT,17,27,32,84.4,10,9,42,43,60,"Steelers implied ~21.5 PPG (8.5 win total, average OL); heavy long-range usage (9 makes from 50+, 10 from 40-49)",locked-in starter,ESPN player stats page
Riley Patterson,MIA,17,27,29,93.1,11,3,34,35,54,"Dolphins implied ~18.0 PPG (4.5 win total, below-average OL) - lowest implied scoring in AFC; Patterson elite mid-range accuracy (11-for-11 from 40-49) but weaker deep (career 7-of-13 from 50+)",open competition vs free-agent signee Zane Gonzalez in training camp,"ESPN player stats page; Phinsider/SI Dolphins camp competition coverage"
Jake Bates,DET,17,27,34,79.4,9,4,54,56,59,"Lions implied ~26.5 PPG (10.5 win total, good OL) - very high-scoring offense drives huge XP volume (56 attempts, most on this list)",locked-in starter,ESPN player stats page
Andy Borregales,NE,17,27,32,84.4,7,4,53,55,59,"Patriots implied ~24.5 PPG (10.5 win total, average OL) - ascending offense generated 55 XP attempts, 2nd-most on this list; rookie 6th-rounder in 2025",locked-in starter,ESPN player stats page
Cairo Santos,CHI,15,25,30,83.3,10,4,39,39,54,"Bears implied ~23.0 PPG (9.5 win total, average OL)",locked-in starter,ESPN player stats page
Evan McPherson,CIN,17,25,28,89.3,10,5,41,44,63,"Bengals implied ~26.5 PPG (10.5 win total, good OL) - high-scoring offense; McPherson perfect under 50 yards",locked-in starter,ESPN player stats page
Chad Ryland,ARI,17,25,33,75.8,7,6,36,36,57,"Cardinals implied only ~17.0 PPG (3.5 win total, lowest in NFL) - very low-scoring offense limits volume; Ryland's accuracy also dipped (75.8%) in 2025",open competition vs Joshua Karty in training camp - job on notice per CBS Sports,"ESPN player stats page; CBS Sports 'job on notice' coverage; Cardinals.com/SI camp competition reporting"
Brandon McManus,GB,14,24,30,80.0,3,3,32,33,56,"Packers implied ~24.5 PPG (10.5 win total, good OL)",locked-in starter with Green Bay,ESPN player stats page
Andre Szmyt,CLE,17,24,27,88.9,5,5,25,26,55,"Browns implied only ~18.5 PPG (6.5 win total, poor OL) - low-scoring, low-volume offense",locked-in starter,ESPN player stats page
Ryan Fitzgerald,CAR,17,24,29,82.8,8,2,27,30,57,"Panthers implied ~21.0 PPG (7.5 win total, average OL)",locked-in starter (under contract through 2027 per SI),"ESPN player stats page; SI Panthers coverage of 2026 role"
Daniel Carlson,LV,17,22,27,81.5,6,5,21,22,60,"Raiders implied only ~18.5 PPG (5.5 win total, below-average OL) with Carlson in 2025",elected free agency in March 2026 after Raiders signed Matt Gay as replacement - Carlson currently unsigned/no 2026 team found,"ESPN player stats page; ESPN/CBS Sports/Spotrac coverage of Raiders moving on from Carlson"
Jake Elliott,PHI,17,20,27,74.1,7,4,41,42,58,"Eagles implied ~25.0 PPG (10.5 win total, elite OL) despite Elliott's own down year (74.1% FG)",locked-in starter,ESPN player stats page
Zane Gonzalez,ATL,9,19,22,86.4,8,7,17,18,56,"Played final 9 games of 2025 with Atlanta (implied ~20.0 PPG, 6.5 win total, average OL) after being picked up in November; went 7-for-9 from 50+",signed with Miami Dolphins for 2026 - open competition vs incumbent Riley Patterson,"ESPN player stats page; SI/Phinsider Dolphins camp competition coverage"
Jake Moody,WSH,9,19,23,82.6,5,2,15,16,56,"Split 2025 across SF/CHI/WSH (9 games combined); Commanders implied ~22.5 PPG (7.5 win total, average OL) for his current team","on Commanders roster but Matt Gay/John Parker Romo-type competition history at this spot - check current WSH depth chart closer to season; unclear starter status","ESPN player stats page (combined SF+CHI+WSH); Commanders.com roster listing"
Matt Prater,BUF,15,18,20,90.0,6,1,46,49,52,"Bills implied ~27.0 PPG (10.5 win total, good OL) - high-scoring offense generated 49 XP attempts; Prater at 90% accuracy in 2025 at age 41",locked-in starter entering 2026 with Buffalo per available reporting,ESPN player stats page
Matt Gay,LV,12,17,23,73.9,-,-,26,26,56,"Split 2025 between Washington (10 games, 68.4% FG) and San Francisco practice squad (2 games); Raiders implied ~18.5 PPG (5.5 win total, below-average OL) for his 2026 team",signed 1-yr deal with Las Vegas Raiders to replace released Daniel Carlson - open competition vs rookie Kansei Matsuzawa in camp,"ESPN player stats page; Raiders.com and Silver and Black Pride signing/competition coverage. Note: 40-49/50+ splits not separately confirmed for Gay - left blank rather than estimate"
Spencer Shrader,IND,5,13,14,92.9,2,1,14,14,52,"Colts implied ~20.5 PPG (7.5 win total, good OL); was 13-of-14 before a Week 5 ACL/MCL tear ended his 2025 season",recovered from ACL/MCL tear - open competition vs Blake Grupe in training camp for Colts starting job,"ESPN player stats page; SI/WISH-TV Colts camp competition coverage"
Harrison Mevis,LAR,9,12,13,92.3,5,1,39,39,52,"Rams implied ~27.5 PPG (11.5 win total, elite OL) - tied for highest implied scoring in NFL; Mevis won the job from Joshua Karty in Week 10 and went 12-for-13","locked-in starter - tendered as exclusive rights free agent, enters camp as frontrunner per SI","ESPN player stats page; SI Rams 2026 outlook; Rams.com ERFA tender news"
Charlie Smyth,NO,6,12,16,75.0,3,4,13,13,57,"Saints implied ~19.5 PPG (7.5 win total, average OL); rookie 2nd-year kicker, small 6-game sample",on Saints roster for 2026 per team's own offseason interview coverage; role appears stabilized after 2025 struggles,"ESPN player stats page; NewOrleansSaints.com 2025 season recap and 2026 offseason interview"
Michael Badgley,BUF,9,11,12,91.7,5,2,20,25,53,"Combined 2025 across Indianapolis (7 games, 10/11 FG) and Buffalo practice squad (2 games); Bills implied ~27.0 PPG (10.5 win total, good OL) for current team","on Bills practice squad as of Dec 2025 - behind Matt Prater on depth chart, backup/depth role for 2026","ESPN player stats page (combined IND+BUF); ESPN report on Colts waiving him, Bills practice squad signing"
Parker Romo,ATL,7,11,14,78.6,1,1,12,13,54,"Played early portion of 2025 for Atlanta (implied ~20.0 PPG, 6.5 win total, average OL) before Falcons moved to Gonzalez then signed Folk for 2026",no longer on Falcons 2026 roster (Falcons signed Nick Folk as starter) - current 2026 team not found in search,ESPN player stats page
Joshua Karty,ARI,8,10,15,66.7,3,1,23,26,51,"Was with Rams (implied ~27.5 PPG, elite OL) for first 8 games of 2025 before being waived in Week 10 after struggles (66.7% FG); briefly with Cardinals, released again June 2026","released by Cardinals June 2026 - reporting conflicts on 2026 status; some sources list him competing with Chad Ryland in Arizona camp, others say he was cut - treat as uncertain/depth-level","ESPN player stats page; FOX Sports/Rams.com waiver coverage; SI Cardinals camp reporting (conflicting with June release reports)"
Graham Gano,NYG,5,9,10,90.0,1,1,9,9,55,"Giants implied ~19.5 PPG (7.5 win total, below-average OL); limited 5-game 2025 sample, likely injury-related",on Giants roster; competed with Younghoe Koo in 2025 but Koo left for NYJ in 2026 - Gano likely returns as starter if healthy,ESPN player stats page
Ben Sauls,NYG,3,8,8,100.0,1,0,7,7,45,"Giants implied ~19.5 PPG (7.5 win total, below-average OL); rookie UDFA/late-round who went perfect in a small 3-game sample",on Giants roster as depth/competition option behind Graham Gano for 2026,"ESPN player stats page; SI Giants 'kicking carousel' coverage"
Younghoe Koo,NYJ,6,6,9,66.7,2,0,13,14,44,"Split 2025 between Atlanta and NY Giants (6 games combined, struggled at 66.7% FG); Jets implied ~19.0 PPG (5.5 win total, below-average OL) for 2026 team",signed by Jets in May 2026 - open 3-way competition vs Cade York and Lenny Krieg for starting job,"ESPN player stats page (combined ATL+NYG); Yahoo Sports/NYJets.com signing coverage; AP wire competition report"
Matthew Wright,HOU,4,5,5,100.0,3,0,4,4,46,"Split 2025 across Tennessee, Washington, and Houston (4 games combined, filled in on emergency/injury basis); Texans implied ~23.5 PPG (9.5 win total, average OL) for most recent team",journeyman/depth kicker - no clear locked-in 2026 starting role identified; likely camp/injury-fill candidate,"ESPN player stats page (combined TEN+WSH+HOU); SI Texans emergency-kicker coverage"
