team,win_total,implied_ppg,ol_tier,hc_2026,new_hc_or_oc,starting_qb_2026,qb_change,scheme_tendency,pace_tier,redzone_note,division_odds,sb_odds,key_personnel_changes,notes
Bills,10.5,27.0,good,Joe Brady,yes - new HC (promoted from OC after McDermott fired),Josh Allen,no,balanced/run-funnel; Allen heavy designed QB runs,fast,QB Allen is primary goal-line rusher; James Cook/vulture risk,heavy favorite (est. -300),+1000,"Traded for Bears WR DJ Moore (sent 2nd-rd pick, got Moore + 5th); signed Bradley Chubb (DE, not skill) and re-tooled RB depth behind James Cook",win total/coaching/trade corroborated by multiple sources; division/SB odds are approximate market snapshots
Dolphins,4.5,18.0,below-average,Jeff Hafley,yes - new HC (replaced Mike McDaniel),Quinn Ewers / Malik Willis (competition),yes,pass-funnel expected under new staff; scheme details TBD,average,unclear - new coaching staff,long shot (est. +700 vs Bills),+50000 (est.),Released Tua Tagovailoa (post-June 1 cut) after benching for rookie Quinn Ewers; signed Malik Willis to a multi-year deal to compete for the job,"QB competition thinly sourced - treat starter as uncertain/estimated; rebuild year, lowest win total in AFC East"
Patriots,10.5,24.5,average,Mike Vrabel,no,Drake Maye,no,balanced; ascending pass offense,average,none notable,moderate favorite in AFC East (est. -150),+1600,Continuity year after playoff surprise in 2025; roster building around Maye with WR/TE additions in FA (specifics unconfirmed),"biggest win-total riser in the league per market; personnel-change specifics thin, marked estimated"
Jets,5.5,19.0,below-average,Aaron Glenn,no,Geno Smith,yes,pass-funnel; rebuilding offense,average,none notable,long shot (est. +1200 vs Bills),+30000 (est.),Traded for QB Geno Smith from Raiders (Mar 2026); signed RB Breece Hall to 3yr/$45.75M after franchise tag; Bailey Zappe/rookie Cade Klubnik competing for backup QB,"Geno Smith trade corroborated by multiple independent sources (ESPN, NFL.com, CBS)"
Ravens,11.5,27.5,good,Jesse Minter,"yes - new HC (replaced John Harbaugh, fired Jan 2026)",Lamar Jackson,no,run-heavy/balanced; Lamar-designed run scheme continuity expected,average-fast,Lamar heavy goal-line rusher; TD vulture risk for backs,favorite (-112 confirmed),+1200 (est.),"New OC Declan Doyle (ex-Bears) hired; core offensive skill roster (Lamar, Henry, Flowers, Andrews) largely retained",highest win total in NFL tied with Rams; HC change well-corroborated across many sources
Bengals,10.5,26.5,good,Zac Taylor,no,Joe Burrow,no,pass-heavy; Burrow/Chase/Higgins vertical passing,fast,minimal - pass-first even near goal line,contender in AFC North (+184 confirmed),+1600 (est.),"Core WR corps (Chase, Higgins) retained; RB room remains committee behind Chase Brown",division odds figure directly sourced; SB odds estimated from tier grouping
Steelers,8.5,21.5,average,Mike McCarthy,yes - new HC (replaced Mike Tomlin),Aaron Rodgers,no,pass-funnel under McCarthy but aging roster,average,Rodgers seen as stopgap; committee backfield,underdog (+510 confirmed),+5000 (est.),Signed WR Michael Pittman Jr. (3yr/$59M reported); Rodgers expected to play a farewell season with Will Howard/rookie Ben Ryan Allar developing behind him,"HC change and Rodgers return well corroborated; Pittman signing less certain, flagged"
Browns,6.5,18.5,poor,Todd Monken,yes - new HC (ex-Ravens OC),Deshaun Watson,no,scheme in flux under new staff; likely more structured RPO/quick game,average,unclear,heavy underdog (+2100 confirmed),+20000 (est.),Overhauled O-line - likely 5 new starters; drafted OT Spencer Fano #9 overall; Watson returning from injury as presumptive starter,OL rebuild and Watson-as-starter corroborated by multiple sources; ranked among worst projected O-lines
Texans,9.5,23.5,average,DeMeco Ryans,no,C.J. Stroud,no,pass-heavy with Stroud/Nico Collins downfield shots,average,none notable,competitive in AFC South (est. -140),+3000 (est.),"Continuity at core skill spots (Stroud, Collins, Nico); no major reported RB/WR overhaul found in search",limited specific FA/draft skill-position detail found - largely continuity assumed
Colts,7.5,20.5,good,Shane Steichen,no,Daniel Jones,no,run-funnel/balanced; strong zone-run OL (top-5 run-block unit),average,Jones/RB committee mix in short yardage,underdog in AFC South (est. +200),+8000 (est.),Jones returning from Achilles tear as starter (retained via tag/extension per reports); OL ranked top-5 in run blocking projections,Jones health/injury timeline is a real risk flagged by sources; treat as some uncertainty
