team,projected_points,floor,ceiling,risk_tier,explanation
Rams,183.6,143.2,229.5,medium,"Elite-tier projection boosted by the trade for reigning Defensive Player of the Year Myles Garrett, on top of an already strong roster and an 11.5-win Vegas total -- the single biggest defensive personnel add of the offseason. Median 184, floor 143, ceiling 230."
Seahawks,178.5,139.2,223.1,medium,"Elite-tier projection: defending Super Bowl champions under DC-turned-HC Mike Macdonald, a 10.5-win Vegas total, and a defense that was the backbone of last year's title run. Median 178, floor 139, ceiling 223."
Ravens,170.0,132.6,212.5,medium,"Elite-tier projection: 11.5-win Vegas total (tied for NFL's highest) and new HC Jesse Minter is a defensive-minded former DC, suggesting scheme continuity/upgrade on that side of the ball. Median 170, floor 133, ceiling 212."
Eagles,168.3,131.3,210.4,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense), with a bonus for a defense-specific note. Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.9 pts/g. Median 168, floor 131, ceiling 210."
Chiefs,161.5,126.0,201.9,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.5 pts/g. Median 162, floor 126, ceiling 202."
Bills,161.5,126.0,201.9,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.5 pts/g. Median 162, floor 126, ceiling 202."
Bengals,161.5,126.0,201.9,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.5 pts/g. Median 162, floor 126, ceiling 202."
Patriots,161.5,126.0,201.9,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.5 pts/g. Median 162, floor 126, ceiling 202."
Packers,161.5,126.0,201.9,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.5 pts/g. Median 162, floor 126, ceiling 202."
Lions,161.5,126.0,201.9,medium,"Elite-tier defensive projection derived from a 10.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense). Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~9.5 pts/g. Median 162, floor 126, ceiling 202."
Broncos,137.7,107.4,172.1,medium,"Good-tier defensive projection derived from a 9.5-win Vegas total (team quality is a real, if imperfect, proxy for scoring defense), with a bonus for a defense-specific note. Standard DEF scoring (sacks/INTs/fumbles/TDs/points-allowed tiers) projected at ~8.1 pts/g. Median 138, floor 107, ceiling 172."
