team,bye_week,rivals_window_note
Panthers,5,group stage - low impact
Chiefs,5,group stage - low impact
Bengals,6,group stage - low impact
Lions,6,group stage - low impact
Dolphins,6,group stage - low impact
Vikings,6,group stage - low impact
Bills,7,group stage - low impact
Jaguars,7,group stage - low impact
Chargers,7,group stage - low impact
Commanders,7,group stage - low impact
Texans,8,last group-stage week - affects wk8 seeding push
Saints,8,last group-stage week - affects wk8 seeding push
Giants,8,last group-stage week - affects wk8 seeding push
"49ers",8,"last group-stage week - affects wk8 seeding push -- McCaffrey owners need a plan"
Steelers,9,"QUARTERFINAL WEEK - single elimination, no bye tolerance"
Titans,9,"QUARTERFINAL WEEK - single elimination, no bye tolerance"
Bears,10,"SEMIFINAL WEEK - single elimination, no bye tolerance"
Broncos,10,"SEMIFINAL WEEK - single elimination, no bye tolerance"
Eagles,10,"SEMIFINAL WEEK - single elimination, no bye tolerance -- Hurts/Barkley owners exposed"
Buccaneers,10,"SEMIFINAL WEEK - single elimination, no bye tolerance"
Falcons,11,"CHAMPIONSHIP WEEK 1 of 2 -- 6-team bye pileup (""byemageddon"")"
Browns,11,"CHAMPIONSHIP WEEK 1 of 2 -- 6-team bye pileup (""byemageddon"")"
Packers,11,"CHAMPIONSHIP WEEK 1 of 2 -- 6-team bye pileup (""byemageddon"")"
Rams,11,"CHAMPIONSHIP WEEK 1 of 2 -- 6-team bye pileup (""byemageddon"")"
Patriots,11,"CHAMPIONSHIP WEEK 1 of 2 -- 6-team bye pileup (""byemageddon"")"
Seahawks,11,"CHAMPIONSHIP WEEK 1 of 2 -- 6-team bye pileup (""byemageddon"")"
Ravens,13,after Rivals season ends (wk12) - irrelevant
Colts,13,after Rivals season ends (wk12) - irrelevant
Raiders,13,after Rivals season ends (wk12) - irrelevant
Jets,13,after Rivals season ends (wk12) - irrelevant
Cardinals,14,after Rivals season ends (wk12) - irrelevant
Cowboys,14,after Rivals season ends (wk12) - irrelevant
