player_name,position,nfl_team,projected_points,floor,ceiling,risk_tier,explanation,rush_att_pg,bye_week,points_early,points_late,pos_rank,replacement_points,vor,overall_rank,vor_round,market_verified,market_round,market_overall_pick,tier,tier_dropoff,tier_market_rounds
Ed Oliver,DL,Bills,75.6,47.6,107.4,high,"3.3 solo + 0.7 ast tackles/g (5.5 pts/g from tackle volume alone) | 1.52 TFL/g, 0.74 sacks/g, 0.08 PD/g | Real 2025 season-ending injury on record -- games_proj discounted, not assumed fully recovered to a normal 17-game year. | listed as DT",,7.0,37.8,37.8,6,65.4,13.3,110,7,False,,,4,3.1,
Pat Bryant,WR,Broncos,74.8,47.2,106.3,high,"5.4 targets/g, 65% catch rate, 8.0 yds/target | full-PPR: every catch worth 1.0 pt (vs 0.5 in Top Teamz)",,10.0,47.8,27.0,43,60.6,13.0,113,8,False,,,22,4.5,7-9
Byron Young,DL,Rams,78.4,66.7,92.6,low,"2.6 solo + 2.2 ast tackles/g (5.6 pts/g from tackle volume alone) | 0.35 TFL/g, 0.59 sacks/g, 0.08 PD/g | Full-time starting edge rusher, dominant duo with Jared Verse | listed as DE",,11.0,49.0,29.4,5,65.4,11.9,115,8,False,,,4,3.1,
Charlie Smyth,K,Saints,45.4,38.6,53.5,low,"2.00 FG made/g (0.50 from 40-49, 0.67 from 50+) | 2.17 XP made/g",,8.0,22.7,22.7,9,41.8,8.0,125,8,False,,,7,1.5,11
Demario Davis,LB,Jets,107.7,80.8,137.8,medium,"4.4 solo + 4.0 ast tackles/g (9.6 pts/g from tackle volume alone) | 0.36 TFL/g, 0.08 sacks/g, 0.22 PD/g | Expected starter/leader for Jets defense [143 combined 2025 tackles found in research notes; solo/assist split estimated at this position's observed 53/47 average since the source didn't report the two separately -- not a fabricated total, just an estimated split.] | listed as MLB",,13.0,59.8,47.8,9,99.6,7.9,127,8,False,,,8,3.9,
Chris Boswell,K,Steelers,45.5,38.6,53.7,low,"1.59 FG made/g (0.59 from 40-49, 0.53 from 50+) | 2.47 XP made/g",,9.0,28.4,17.1,8,41.8,5.3,134,9,True,11.0,164.89,8,1.4,10-11
Jalen Thompson,DB,Cowboys,92.1,78.3,108.7,low,"3.9 solo + 2.5 ast tackles/g (7.7 pts/g from tackle volume alone) | 0.13 TFL/g, 0.06 sacks/g, 0.48 PD/g | Starter - safety | listed as S",,14.0,51.2,41.0,6,84.4,3.7,143,9,False,,,5,2.1,
Dane Belton,DB,Jets,92.0,69.0,117.7,medium,"3.5 solo + 3.5 ast tackles/g (7.9 pts/g from tackle volume alone) | 0.10 TFL/g, 0.08 sacks/g, 0.42 PD/g | Signed a 1yr/$4M deal with the Jets in March 2026, not still with the Giants. In an open competition for the starting safety job with Andre Cisco and Malachi Moore as of Aug 18, 2026 -- not a locked-in starter. | listed as S",,13.0,51.1,40.9,7,84.4,3.4,146,10,False,,,5,2.1,
Mike Gesicki,TE,Bengals,53.4,40.0,68.4,medium,"4.3 targets/g, 68% catch rate, 7.5 yds/target | full-PPR: every catch worth 1.0 pt (vs 0.5 in Top Teamz)",0.0,6.0,27.0,26.4,18,49.4,2.7,150,10,False,,,9,4.8,8
Nick Folk,K,Jets,41.8,35.6,49.4,low,"1.75 FG made/g (0.44 from 40-49, 0.44 from 50+) | 1.38 XP made/g",,13.0,23.2,18.6,16,41.8,2.4,152,10,True,10.0,154.68,9,3.8,10
Germaine Pratt,LB,Colts,103.0,77.2,131.8,medium,"4.2 solo + 3.7 ast tackles/g (9.0 pts/g from tackle volume alone) | 0.21 TFL/g, 0.08 sacks/g, 0.35 PD/g | Starter, reunited with DC in Indianapolis | listed as ILB",,13.0,57.2,45.8,13,99.6,2.3,155,10,False,,,9,2.5,
Chase McLaughlin,K,Buccaneers,42.5,36.1,50.2,low,"1.88 FG made/g (0.35 from 40-49, 0.65 from 50+) | 1.88 XP made/g",,10.0,26.6,15.9,15,41.8,1.7,157,10,True,11.0,161.76,9,3.8,10
Nnamdi Madubuike,DL,Ravens,67.8,42.7,96.2,high,"2.5 solo + 1.0 ast tackles/g (4.5 pts/g from tackle volume alone) | 0.35 TFL/g, 0.74 sacks/g, 0.08 PD/g | Real 2025 season-ending injury on record, but the same research confirms he's cleared/fully healthy for 2026 -- games_proj uses the real 'high risk' games count instead of the harsher unrecovered discount, since there's no specific 2026 games-missed signal left, just residual uncertainty until proven in game action. | listed as DT",,13.0,37.7,30.1,12,65.4,1.6,159,10,False,,,7,2.3,
Quinnen Williams,DL,Cowboys,66.8,56.8,78.9,low,"1.7 solo + 1.8 ast tackles/g (3.9 pts/g from tackle volume alone) | 0.45 TFL/g, 0.33 sacks/g, 0.08 PD/g | Full-time starter, anchors Cowboys DL alongside Kenny Clark | listed as DT",,14.0,37.1,29.7,14,65.4,0.4,166,11,False,,,7,2.3,
Jordan Davis,DL,Eagles,67.4,57.2,79.4,low,"1.9 solo + 2.1 ast tackles/g (4.4 pts/g from tackle volume alone) | 0.62 TFL/g, 0.37 sacks/g, 0.26 PD/g | Full-time nose tackle, run anchor with growing pass rush | listed as NT",,10.0,42.1,25.3,13,65.4,-1.1,173,11,False,,,7,2.3,
David Njoku,TE,Chargers,49.2,36.9,63.0,medium,"4.7 targets/g, 68% catch rate, 6.0 yds/target | full-PPR: every catch worth 1.0 pt (vs 0.5 in Top Teamz)",0.0,7.0,24.1,25.1,20,49.4,-2.1,176,11,False,,,10,6.7,
Zane Gonzalez,K,Falcons,39.0,29.2,49.9,medium,"2.11 FG made/g (0.89 from 40-49, 0.78 from 50+) | 1.89 XP made/g",,11.0,24.4,14.6,19,41.8,-2.5,178,12,False,,,10,1.5,11
DaRon Bland,DB,Cowboys,86.3,64.7,110.5,medium,"3.8 solo + 2.3 ast tackles/g (7.4 pts/g from tackle volume alone) | 0.22 TFL/g, 0.03 sacks/g, 0.53 PD/g | Starter - outside corner | listed as CB",,14.0,47.9,38.4,13,84.4,-3.5,181,12,False,,,7,1.5,
Joey Slye,K,Titans,37.7,32.0,44.5,low,"1.75 FG made/g (0.44 from 40-49, 0.56 from 50+) | 1.62 XP made/g",,9.0,23.6,14.1,20,41.8,-4.0,185,12,False,,,11,1.5,11
Bobby Wagner,LB,Free agent (unsigned),97.3,61.3,138.1,high,"4.6 solo + 4.9 ast tackles/g (10.6 pts/g from tackle volume alone) | 0.21 TFL/g, 0.21 sacks/g, 0.28 PD/g | Unsigned as of Aug 2026 -- games_proj discounted for a landing-spot/ramp-up gap even if he signs before the draft. | listed as MLB",,,54.0,43.2,19,99.6,-4.8,188,12,False,,,11,2.1,
Wil Lutz,K,Broncos,37.0,31.4,43.6,low,"1.65 FG made/g (0.18 from 40-49, 0.23 from 50+) | 2.29 XP made/g",,10.0,23.1,13.9,22,41.8,-4.8,189,12,True,11.0,162.18,11,1.5,11
Tyson Campbell,DB,CLE/JAX,85.2,72.4,100.5,low,"3.2 solo + 1.9 ast tackles/g (6.2 pts/g from tackle volume alone) | 0.10 TFL/g, 0.03 sacks/g, 0.81 PD/g | Starter - outside corner | listed as CB",,,47.3,37.8,14,84.4,-5.0,190,12,False,,,7,1.5,
Ben Sauls,K,Giants,34.6,26.0,44.4,medium,"2.67 FG made/g (0.33 from 40-49, 0.00 from 50+) | 2.33 XP made/g",,8.0,17.3,17.3,23,41.8,-5.5,193,13,False,,,11,1.5,11
Zach Sieler,DL,Dolphins,60.4,51.3,71.2,low,"1.7 solo + 1.1 ast tackles/g (3.4 pts/g from tackle volume alone) | 0.71 TFL/g, 0.40 sacks/g, 0.14 PD/g | Team captain, full-time starting interior DL/run anchor | listed as DT",,6.0,30.2,30.2,21,65.4,-5.7,196,13,False,,,8,3.8,
Geno Smith,QB,Jets,117.4,88.1,150.3,medium,"34.0 pass att/g x 6.8 YPA, 3.0% TD rate (1pt/25 pass yds here, double Top Teamz's rate) | 2.0 rush att/g at 3.5 YPC",,13.0,64.5,52.9,19,123.0,-6.0,197,13,False,,,4,7.8,9
Nik Bonitto,DL,Broncos,63.2,53.8,74.6,low,"1.8 solo + 0.9 ast tackles/g (3.4 pts/g from tackle volume alone) | 0.35 TFL/g, 0.65 sacks/g, 0.11 PD/g | Full-time starting edge rusher, elite pass rusher | listed as DE",,10.0,39.5,23.7,18,65.4,-6.2,198,13,False,,,8,3.8,
Graham Gano,K,Giants,34.0,28.9,40.1,low,"1.80 FG made/g (0.20 from 40-49, 0.20 from 50+) | 1.80 XP made/g",,8.0,17.0,17.0,25,41.8,-6.2,200,13,False,,,11,1.5,11
Paulson Adebo,DB,Giants,81.6,61.2,104.4,medium,"4.7 solo + 1.4 ast tackles/g (8.1 pts/g from tackle volume alone) | 0.10 TFL/g, 0.03 sacks/g, 0.61 PD/g | Starter - outside corner | listed as CB",,8.0,40.8,40.8,24,84.4,-7.0,204,13,False,,,8,1.1,
Dee Winters,LB,Cowboys,95.0,80.8,112.1,low,"3.9 solo + 2.0 ast tackles/g (7.4 pts/g from tackle volume alone) | 0.45 TFL/g, 0.08 sacks/g, 0.31 PD/g | Starter, traded from SF to Dallas in 2026 NFL Draft (Day 2 trade) | listed as ILB",,14.0,52.8,42.2,21,99.6,-7.5,207,13,False,,,12,2.2,
