date,team,move_type,player_added,player_dropped,faab_spent,note
2026-09-09,Surrender Your Booty,ADD/DROP,Packers DEF,Tyler Harris,,
2026-09-13,Hall Too Well,ADD/DROP,Michael Fields,Wan'Dale Robinson,,
2026-09-13,Wild Bill,ADD/DROP,Najee Harris,Kyler Murray,,
2026-09-15,Daejon Love the Game,DROP,,Romeo Doubs,,User's own team.
2026-09-15,Daejon Love the Game,DROP,,Titans DEF,,
2026-09-15,Daejon Love the Game,DROP,,Jake Ferguson,,
2026-09-16,Daejon Love the Game,ADD,Caleb Douglas,,6,
2026-09-16,Daejon Love the Game,ADD,Kalif Raymond,,3,
2026-09-16,Daejon Love the Game,ADD/DROP,49ers DEF,Rams DEF,1,
2026-09-16,Swifties and a Tight End,ADD/DROP,Antonio Williams,J. Lane,3,
2026-09-16,Wild Bill,ADD/DROP,Alvin Kamara,Najee Harris,,
2026-09-16,Russini's EndZone,ADD,Mac Hollins,,,
2026-09-16,Gibbs Me Some More,ADD,Dontayvion Wicks,,,
2026-09-16,Gibbs Me Some More,ADD/DROP,Buccaneers DEF,Chargers DEF,,
2026-09-17,Russini's EndZone,ADD/DROP,Romeo Doubs,Mac Hollins,1,Romeo Doubs re-added here after Daejon Love the Game dropped him Sep 15.
